TIME,COMPUTER CHOOSE,PLAYER CHOOSE,RESULT,WINNER_NO
2022-12-20 00:34:09.110163,ROCK,ROCK,Its a Tie,2
2022-12-20 00:34:14.520149,PAPER,SCISSORS,You Won,1
2022-12-20 00:37:52.694695,ROCK,ROCK,Its a Tie,2
2022-12-20 00:38:13.225657,ROCK,PAPER,You Won,1
2022-12-20 00:41:08.606815,PAPER,ROCK,You Loose,3
2022-12-20 00:41:13.299652,SCISSORS,PAPER,You Loose,3
2022-12-20 00:41:18.287278,ROCK,SCISSORS,You Loose,3
2022-12-20 00:41:35.842856,PAPER,PAPER,Its a Tie,2
2022-12-20 00:42:16.448635,ROCK,SCISSORS,You Loose,3
2022-12-20 22:40:58.566796,SCISSORS,ROCK,You Won,1
2022-12-20 22:41:04.578106,PAPER,PAPER,Its a Tie,2
2022-12-23 21:41:30.651497,ROCK,ROCK,Its a Tie,2
2022-12-23 21:41:37.668111,PAPER,SCISSORS,You Won,1
2022-12-23 21:41:41.607268,SCISSORS,ROCK,You Won,1
2022-12-23 21:41:44.994913,ROCK,ROCK,Its a Tie,2
2022-12-23 21:41:47.851234,SCISSORS,PAPER,You Loose,3
2022-12-23 21:41:50.571899,ROCK,ROCK,Its a Tie,2
2022-12-23 21:41:53.527071,ROCK,ROCK,Its a Tie,2
2022-12-23 21:41:56.672493,PAPER,ROCK,You Loose,3
2022-12-23 21:42:00.057006,ROCK,SCISSORS,You Loose,3
2022-12-23 21:42:02.968733,PAPER,PAPER,Its a Tie,2
2022-12-23 21:42:05.843745,ROCK,SCISSORS,You Loose,3
2022-12-23 21:42:09.313904,SCISSORS,PAPER,You Loose,3
2022-12-23 21:42:15.299430,SCISSORS,PAPER,You Loose,3
2022-12-23 21:42:20.296085,ROCK,SCISSORS,You Loose,3
2022-12-23 21:42:23.774372,PAPER,ROCK,You Loose,3
2022-12-24 15:41:03.524674,SCISSORS,ROCK,You Won,1
2022-12-24 15:41:06.253254,ROCK,PAPER,You Won,1
2022-12-24 15:41:09.960954,ROCK,SCISSORS,You Loose,3
2022-12-24 15:41:12.077557,ROCK,PAPER,You Won,1
2022-12-24 15:41:14.712368,PAPER,PAPER,Its a Tie,2
2022-12-24 15:41:16.895773,ROCK,SCISSORS,You Loose,3
2022-12-24 15:41:19.248027,SCISSORS,ROCK,You Won,1
2022-12-24 15:41:21.546213,SCISSORS,ROCK,You Won,1
2022-12-24 15:41:23.720444,ROCK,ROCK,Its a Tie,2
2022-12-24 15:41:25.760731,PAPER,PAPER,Its a Tie,2
2022-12-24 15:41:27.924743,SCISSORS,ROCK,You Won,1
2022-12-24 15:41:29.919389,ROCK,ROCK,Its a Tie,2
2022-12-24 15:41:31.944659,SCISSORS,ROCK,You Won,1
2022-12-24 15:41:34.354287,ROCK,ROCK,Its a Tie,2
2022-12-24 15:41:36.345397,PAPER,ROCK,You Loose,3
2022-12-24 15:41:38.687727,ROCK,PAPER,You Won,1
2022-12-24 15:41:40.819633,ROCK,SCISSORS,You Loose,3
2022-12-24 15:41:42.809081,PAPER,PAPER,Its a Tie,2
2022-12-24 15:43:59.869445,ROCK,ROCK,Its a Tie,2
2022-12-25 23:30:48.693044,PAPER,ROCK,You Loose,3
2022-12-25 23:30:51.627991,ROCK,ROCK,Its a Tie,2
2022-12-26 19:07:22.218766,PAPER,ROCK,You Loose,3
2022-12-26 19:07:25.800018,ROCK,PAPER,You Won,1
2022-12-26 19:07:29.914241,ROCK,PAPER,You Won,1
2022-12-26 19:07:32.514671,ROCK,PAPER,You Won,1
2022-12-26 19:07:34.919125,PAPER,PAPER,Its a Tie,2
2022-12-26 19:07:37.131661,PAPER,PAPER,Its a Tie,2
2022-12-26 19:07:40.885153,SCISSORS,ROCK,You Won,1
2022-12-26 19:07:43.777322,PAPER,PAPER,Its a Tie,2
2022-12-26 19:07:46.074588,SCISSORS,ROCK,You Won,1
2022-12-26 19:07:49.019291,ROCK,ROCK,Its a Tie,2
2022-12-26 19:07:51.412439,PAPER,PAPER,Its a Tie,2
2022-12-26 19:07:53.972520,SCISSORS,SCISSORS,Its a Tie,2
2022-12-26 19:07:57.053812,SCISSORS,ROCK,You Won,1
2022-12-26 19:07:59.474987,SCISSORS,ROCK,You Won,1
2022-12-26 19:08:01.825710,SCISSORS,PAPER,You Loose,3
2022-12-29 01:05:45.188460,ROCK,ROCK,Its a Tie,2
2022-12-29 01:06:01.721384,SCISSORS,PAPER,You Loose,3
2022-12-29 01:06:26.360207,ROCK,SCISSORS,You Loose,3
2022-12-29 03:15:25.306000,ROCK,ROCK,Its a Tie,2
2022-12-29 03:15:27.890768,PAPER,PAPER,Its a Tie,2
2022-12-29 03:15:30.576186,PAPER,ROCK,You Loose,3
2022-12-29 20:55:12.808576,ROCK,ROCK,Its a Tie,2
2022-12-29 20:55:19.139002,ROCK,PAPER,You Won,1
2022-12-29 21:24:52.798011,SCISSORS,ROCK,You Won,1
2022-12-29 21:25:35.156255,ROCK,SCISSORS,You Loose,3
2022-12-29 21:25:54.095134,PAPER,PAPER,Its a Tie,2
2022-12-31 20:55:59.571851,PAPER,ROCK,You Loose,3
